vehicle_age,seller_type,fuel_type,transmission_type,mileage,engine,max_power,selling_price
9,Individual,Petrol,Manual,19.7,796,46.3,120000
5,Individual,Petrol,Manual,18.9,1197,82.0,550000
11,Individual,Petrol,Manual,17.0,1197,80.0,215000
9,Individual,Petrol,Manual,20.92,998,67.1,226000
6,Dealer,Diesel,Manual,22.77,1498,98.59,570000
8,Individual,Petrol,Manual,18.9,998,67.1,350000
8,Dealer,Petrol,Manual,20.36,1197,78.9,315000
3,Dealer,Petrol,Manual,20.51,998,67.04,410000
2,Individual,Petrol,Automatic,18.15,998,118.35,1050000
4,Dealer,Petrol,Manual,16.6,1197,85.0,511000
8,Dealer,Diesel,Manual,22.32,1582,126.32,425000
5,Individual,Diesel,Manual,19.64,1461,108.45,750000
4,Dealer,Petrol,Automatic,14.41,1998,189.08,3250000
5,Dealer,Diesel,Manual,28.09,1248,88.5,650000
5,Individual,Diesel,Manual,25.2,1248,74.0,627000
7,Dealer,Diesel,Automatic,19.27,2143,170.0,1425000
7,Dealer,Diesel,Manual,28.4,1248,74.0,425000
8,Individual,Diesel,Manual,12.99,2494,100.6,605000
6,Individual,Petrol,Manual,21.4,1197,83.1,600000
5,Individual,Petrol,Manual,20.85,1197,83.14,575000
8,Dealer,Petrol,Manual,16.09,1598,103.2,425000
8,Dealer,Petrol,Manual,20.92,998,67.1,230000
2,Individual,Diesel,Manual,19.67,1582,126.2,1225000
6,Individual,Petrol,Manual,17.4,1497,117.3,750000
10,Individual,Diesel,Manual,13.6,2523,63.0,350000
6,Individual,Diesel,Manual,26.59,1248,74.0,600000
8,Dealer,Diesel,Manual,26.59,1248,74.0,390000
14,Dealer,Petrol,Manual,17.7,1497,78.0,145000
3,Individual,Petrol,Manual,17.19,1197,81.86,700000
8,Individual,Diesel,Manual,13.0,2982,168.5,1150000
4,Individual,Petrol,Manual,23.01,999,67.0,340000
5,Dealer,Petrol,Manual,18.6,1199,88.76,465000
12,Individual,Petrol,Manual,17.92,1086,62.1,125000
9,Individual,Diesel,Manual,15.1,2179,140.0,600000
8,Individual,Diesel,Manual,23.4,1248,74.0,380000
3,Individual,Diesel,Manual,22.54,1396,88.73,850000
3,Individual,Petrol,Manual,18.6,1197,81.83,598000
6,Dealer,Petrol,Automatic,18.0,1497,117.3,700000
7,Dealer,Diesel,Manual,23.4,1248,74.0,410000
5,Dealer,Petrol,Automatic,21.4,1197,83.1,590000
1,Individual,Diesel,Manual,21.0,1498,74.96,850000
3,Individual,Petrol,Manual,18.15,1198,82.0,550000
5,Dealer,Petrol,Manual,15.4,1590,94.0,625000
5,Individual,Petrol,Manual,20.85,1197,83.14,600000
2,Individual,Petrol,Manual,20.51,998,67.04,445000
2,Individual,Petrol,Manual,20.89,1197,81.8,530000
3,Trustmark Dealer,CNG,Manual,26.6,998,58.16,410000
3,Individual,Petrol,Manual,22.5,999,68.0,350000
7,Individual,Diesel,Manual,22.32,1582,126.3,520000
5,Individual,Diesel,Manual,22.54,1396,88.73,750000
4,Individual,Diesel,Manual,26.59,1248,74.0,560000
2,Dealer,Petrol,Manual,18.6,1197,81.83,655000
14,Dealer,Petrol,Manual,17.8,1086,63.0,125000
3,Individual,Petrol,Manual,18.6,1197,81.83,550000
4,Individual,Diesel,Manual,15.4,1997,120.0,1150000
9,Individual,Diesel,Manual,20.54,1598,103.6,500000
2,Individual,Diesel,Manual,17.3,1497,121.0,990000
8,Dealer,Diesel,Manual,25.0,1493,113.42,551000
3,Individual,Diesel,Automatic,15.1,2179,152.87,1650000
6,Dealer,Diesel,Manual,24.0,1120,70.0,350000
4,Dealer,Petrol,Manual,18.16,1196,86.8,500000
3,Individual,Petrol,Manual,21.21,1197,81.8,575000
3,Individual,Diesel,Manual,24.0,1186,73.97,545000
4,Trustmark Dealer,Petrol,Manual,18.16,1196,86.8,525000
7,Individual,Petrol,Manual,18.0,1198,86.7,400000
15,Dealer,Petrol,Manual,14.0,1061,64.0,155000
5,Dealer,Diesel,Manual,26.59,1248,74.0,545000
8,Individual,Petrol,Manual,16.8,1497,116.3,545000
5,Individual,Petrol,Manual,25.17,799,53.3,240000
3,Dealer,Diesel,Manual,24.3,1248,88.5,725000
4,Individual,Petrol,Manual,18.16,1196,86.8,480000
8,Individual,Petrol,Manual,18.5,1197,82.9,375000
10,Individual,Diesel,Manual,17.8,1248,75.0,225000
4,Individual,Petrol,Manual,23.84,1199,84.0,400000
